iter	Passed	Remaining
214	4393	97787
215	4411	97711
216	4432	97707
217	4453	97690
218	4472	97639
219	4489	97544
220	4505	97423
221	4525	97393
222	4543	97338
223	4565	97333
224	4585	97321
225	4605	97284
226	4628	97318
227	4648	97294
228	4668	97268
229	4691	97294
230	4715	97344
231	4734	97296
232	4753	97254
233	4772	97199
234	4788	97100
235	4805	97003
236	4823	96940
237	4845	96956
238	4868	96977
239	4885	96890
240	4903	96819
241	4919	96717
242	4935	96623
243	4955	96583
244	4976	96591
245	4996	96564
246	5016	96529
247	5038	96540
248	5058	96524
249	5078	96485
250	5100	96493
251	5121	96491
252	5139	96433
253	5158	96380
254	5174	96284
255	5191	96204
256	5207	96114
257	5229	96108
258	5247	96053
259	5265	95996
260	5281	95895
261	5298	95812
262	5315	95743
263	5333	95675
264	5349	95581
265	5366	95500
266	5384	95443
267	5400	95352
268	5416	95260
269	5431	95157
270	5449	95089
271	5472	95116
272	5493	95118
273	5512	95074
274	5528	94984
275	5544	94903
276	5560	94817
277	5577	94738
278	5594	94663
279	5619	94730
280	5638	94692
281	5655	94614
282	5672	94545
283	5689	94475
284	5705	94396
285	5727	94396
286	5744	94327
287	5763	94301
288	5784	94298
289	5808	94342
290	5831	94373
291	5852	94361
292	5875	94385
293	5899	94433
294	5917	94373
295	5934	94308
296	5951	94246
297	5968	94167
298	5989	94170
299	6010	94160
300	6033	94183
301	6050	94117
302	6068	94065
303	6084	93983
304	6102	93937
305	6119	93869
306	6139	93852
307	6161	93860
308	6183	93868
309	6206	93902
310	6231	93946
311	6250	93919
312	6274	93950
313	6292	93910
314	6311	93875
315	6330	93829
316	6348	93778
317	6370	93790
318	6394	93832
319	6416	93839
320	6436	93821
321	6458	93835
322	6476	93784
323	6496	93755
324	6515	93729
325	6538	93751
326	6560	93751
327	6584	93792
328	6607	93807
329	6627	93791
330	6651	93827
331	6674	93843
332	6695	93836
333	6713	93786
334	6730	93727
335	6748	93677
336	6766	93623
337	6787	93620
338	6809	93627
339	6830	93613
340	6848	93575
341	6868	93552
342	6887	93518
343	6906	93483
344	6929	93501
345	6954	93541
346	6974	93524
347	6996	93521
348	7021	93568
349	7040	93544
350	7063	93550
351	7086	93578
352	7106	93546
353	7125	93521
354	7144	93477
355	7165	93467
356	7187	93474
357	7207	93451
358	7229	93454
359	7249	93433
360	7270	93426
361	7291	93417
362	7310	93380
363	7330	93365
364	7352	93368
365	7372	93350
366	7394	93341
367	7415	93334
368	7434	93304
369	7454	93279
370	7475	93277
371	7494	93233
372	7512	93189
373	7532	93164
374	7550	93122
375	7572	93122
376	7595	93140
377	7616	93130
378	7637	93120
379	7654	93065
380	7672	93013
381	7690	92976
